AlbumId,AlbumMusic,AlbumName,AlbumTitle,AlbumSubtitle,Platform,Language,AlbumCard,CardColor1,CardColorBG,FontColorTitle,FontColorSub,,
专辑唯一标识,专辑歌曲（歌曲MID用|分隔）,专辑名（Tid）,专辑标题（Tid）,专题副标题（Tid）,用|分隔（1=安卓GP|2=安卓国内|3=IOS）填写屏蔽的平台,禁用的语言(用|分割表示或)             英语:1 中国:2 中国台湾:3 德国:4 法语:5 荷兰:6 挪威:7 葡萄牙:8 土耳其:9 西班牙:10 意大利:11 阿拉伯:12 韩语:13 日语:14 俄语:15,对应专辑卡片,卡片色调,卡片背板色调,卡片字色,卡片字色,备注,
100066,110019|110072|110037|110066|110064|110028|110002|110015|110061|110025|110040|110033|110023|110014|110003|110053|110059|110001|110069|110039|110036|110055|110018|110004|110058|110029|110034|110038|110031|110035|110063|110068|110032|110017|110013|110030|110005|110026|110057|110008|110009|110027|110060|110074|110006|110044|110016|110022|110010|110024|110065|110021|110079|110011|110012|110056|110075|120019|120042|120005|120023|120021|120007|120011|120046|120002|120012|120013|120008|120010|120034|120009|120004|120022|120031|120030|120029|120024|120003|120006|120044|120045|120016|120032|120033|120035|120036|120014|120037|120038|120039|120040|120043|120027|120026|120020|120015|120041|120047|120048|120049|120050|120060|120061|120062|120063|120064|120068|120069|120070|120071|120074|120077|120072|120078|120076|120079|120080|120081|120083|120084|120089|120091|120092|120095|120093|120087|120094|120098|120100,album_newyear2018,album_newyear2018_subtitle,,,,3,#FFFFFF,#00fafc,#395D73,#96B3C5,Beepy's,
100064,100001|110041|110042|110051|110052|106005|110043|110045|105011|105006|110054|110062|105007|105010|106008|106001|105008|105009|105003|105004|105002|106006|106007|106003|106009|106010|106011|106012|106013|120065|120066|120067|120075|120073|120082|120085|120086|120090,album_autumn,album_autumn_subtitle,,,,2,#FFFFFF,#ffffff,#395D72,#96B3C4,TheSouth's,
100048,130036|130037|130038|130026|130035|130041|130039|130028|130023|130030|130031|130047|130016|130022|130021|130033|130044|130040|130008|130032|130020|130012|130024|130027|130017|130011|130029|130043|130048|130045|130019|130025|130042|130034|130018|130013|130010|130014|130009|130046|990305|130004|130007|170029|130006|130005|910329|170001|130002|130003|130001|130015|170101|170036,album_kuaikuaikuai2,album_kuaikuaikuaimiaoshu,,,,18,#FFFFFF,#ffffff,#395D73,#96B3C5,adem1nt,
100049,120007|120077|120084|120100,album_relaxingtime,album_relaxingtime_subtitle,,,,15,#FFFFFF,#4e1219,#395D73,#96B3C5,Touhou,
100055,120004|120022|120031|120036|120040|110037|120030|120060|120072|120076|120081|120089|120092|120095|120093|120085|120098,album_popmusic,album_popmusic_subtitle,,,,10,#FFFFFF,#ffffff,#395D72,#96B3C4,Meme,
100060,110057|130048|110074|130042|110021|110079|130010|110012|130014|130009|120011|120008|120030|130003|130015|170101,album_beethoven2,album_beethoven2_subtitle,,,,1,#FFFFFF,#ffeeb4,#395D73,#96B3C5,Legendary,
100021,110056|106008|110075|130046|120100|170036,album_newgameplay,album_newgameplay_subtitle1,,,,9,#FFFFFF,#093e98,#395D73,#96B3C5,impossible,
100057,105009|105003|105004|105002|120086,album_Original,album_Original_subtitle,,,,6,#FFFFFF,#060606,#395D73,#96B3C5,AlanWalker,1
100056,106009|106010|106011|106012|106013|120074|120075|120082,album_world3,album_world3_subtitle1,,,,11,#FFFFFF,#ffee4a,#395D73,#96B3C5,DancingLine,
100040,110019|110002|110001|110057|110066|110061|110059|110069|110062|110063|120024|120026|120050,album_love2017,album_love2017_subtitle,,,,19,#FFFFFF,#a6ecfc,#395D73,#96B3C5,Valentines,
100005,110058|130011|110008|110009|110027|105007,album_chopin1,album_chopin1 _subtitle1,album_chopin1_subtitle2,,,7,#FFFFFF,#baaa71,#395D73,#96B3C5,Chopin,
100062,130026|130041|130039|130028|130023|130030|130031|130016|130022|130021|110055|110004|130033|130044|130040|130032|130020|130012|130024|130027|110032|130017|130029|130043|110057|110074|130045|130019|130025|130042|110022|130034|130018|110079|110012|110056,album_student,album_student_subtitle,,,,5,#FFFFFF,#060606,#395D73,#96B3C5,Liszt,
100035,130047|110018|130008|130048|130013|130014,album_wonderfulworld,album_wonderfulworld_subtitle,,,,17,#FFFFFF,#000000,#395D68,#96B3C0,Alkan,
100052,120037|120038|120039|120040|120043,album_world2,album_world2_subtitle1,,,,13,#FFFFFF,#0069a5,#395D70,#96B3C2,Sonic,
100054,120002|120012|120013|120008|120010,album_dance2,album_dance2_subtitle,,,,16,#FFFFFF,#1c47b8,#395D71,#96B3C3,SuperMario,
100051,120006|120044|120045,album_ClackChen,album_ClackChen_subtitle,,,,12,#FFFFFF,#060606,#395D73,#96B3C5,Pirates,
100065,110043|120062|120063|120064|120065|120066|120067|120068|120069|120070,album_christmas2017,album_christmas2017_subtitle,,,,32,#FFFFFF,#054e30,#395D72,#96B3C4,Christmas,
100047,110005|120002|120008|120010|120032|120035|120048|120049|120072|120080,album_1diamond,album_1diamond_subtitle1,,,,20,#FFFFFF,#00227b,#395D73,#96B3C5,Theme,
100059,100001|110041|110042|110051|110052|120020,album_Adapted,album_Adapted_subtitle,,,,8,#FFFFFF,#3ebbe3,#395D72,#96B3C4,Canon,
100061,130047|110039|130008|130048|110008|110009|110016|110022|130013,album_Original2,album_Original_subtitle2,,,,26,#FFFFFF,#713cdd,#395D73,#96B3C5,Etude,
100063,120014|120036|120035|120033|120032|120016|106013|106003|120008|120007|105010|110004,album_halloween2017,album_halloween1_subtitle,,,,30,#FFFFFF,#713cdd,#395D73,#96B3C5,Halloween,
,,,,,,,,,,,,,
100053,310029,album_Chinese,album_Chinese_subtitle,,,,14,#FFFFFF,#713cdd,#395D73,#96B3C5,ComboTiles,
100050,100258|100087|100088|100076|100156,album_wonderfulworld,album_wonderfulworld_subtitle,,,,0,#FFFFFF,#713cdd,#395D73,#96B3C5,美丽新世界,
100044,100635|100636|100638|100637|100639,easter_event_malbum,easter_event_salbum,,,12,24,#FFFFFF,#7bd154,#395D71,#96B3C3,复活节副本专辑,
100045,100640|100642|100643|100644,coins_malbum,coins_salbum,,,,0,#FFFFFF,#713cdd,#395D73,#96B3C5,金币歌曲专辑,
100046,100645|100646|100647|100648|100649,Josef_malbum,Josef_salbum,,,,0,#FFFFFF,#713cdd,#395D73,#96B3C5,约瑟夫·施特劳斯专辑,
100043,100270|100512|100257|100099|100133,spring_malbum,spring_salbum,,,,23,#FFFFFF,#b9ee51,#395D72,#96B3C4,春天专辑,
100042,100620|100621|100622|100623|100624,album_ballad,album_ballad_subtitle,,,,22,#FFFFFF,#b3bf00,#395D73,#96B3C5,民谣专辑,
100041,100615|100616|100617|100618|100619,album_debussy,album_debussy_subtitle,,,,0,#FFFFFF,#713cdd,#395D73,#96B3C5,德彪西专辑,
100039,100594|100595|100596,album_Pieces1,album_Pieces1_subtitle,,,,20,#FFFFFF,#00227b,#395D73,#96B3C5,魔幻专辑,
100038,100011|100263|100597|100374|100284,album_rose,album_rose_subtitle,,,,21,#FFFFFF,#48991d,#395D73,#96B3C5,玫瑰专辑,
100037,100580|100579|100578|100577|100576|100575|100574,album_chunjie1,album_chunjiemiaoshu1,,,,16,#FFFFFF,#43b3e1,#395D67,#96B3C1,春节地图,
100036,100005|100241|100246|100251|100249,album_chunjie2,album_chunjiemiaoshu2,,,,18,#FFFFFF,#fdf9ba,#395D69,#96B3C1,贴窗花,
100030,100534|100535|100536|100537|100538,album_shengdanjie2,album_shengdanjiemiaoshu2,,,12,15,#FFFFFF,#e2fcff,#395D70,#96B3C2,圣诞节专辑2,
100031,100554|100555|100556,album_shengdanjie1,album_shengdanjiemiaoshu1,,,12,13,#FFFFFF,#b4e0ff,#395D71,#96B3C3,圣诞节专辑1,
100032,100187|100188|100189|100191|100193,album_shengdanjie3,album_shengdanjiemiaoshu3,,,,14,#FFFFFF,#c2f6ff,#395D72,#96B3C4,圣诞节专辑3,
100033,100262|100278|100074|100083|100151,album_mendeersong,album_mdesmiaoshu,,,,0,#FFFFFF,#713cdd,#395D73,#96B3C5,门德尔松专辑,
100034,100557|100558|100559|100560|100561,album_biantai,album_btmiaoshu,,,,0,#FFFFFF,#713cdd,#395D73,#96B3C5,变态歌曲专辑,
100027,100530|100531|100532|100533,album_corner,"album_corner_subtitle
",,,,12,#FFFFFF,#4a7860,#395D73,#96B3C5,时光的角落,
100028,100024|100333|100384|100257|100140,album_lstrauss,"album_lstrauss_subtitle
",,,,0,#FFFFFF,#713cdd,#395D73,#96B3C5,小约翰·施特劳斯专辑,
100029,100021|100255|100234|100367|100170,album_tchaikovsky,"album_tchaikovsky_subtitle
",,,,0,#FFFFFF,#713cdd,#395D73,#96B3C5,柴可夫斯基专辑,
100024,100505|100506|100507|100508|100509,album_halloween1,album_halloween1_subtitle,,,12,11,#FFFFFF,#4a2a9d,#395D73,#96B3C5,万圣节专辑1,1
100025,100094|100137|100134|100138|100135,album_halloween2,album_halloween2_subtitle,,,12,10,#FFFFFF,#0a585c,#395D73,#96B3C5,万圣节专辑2,
100026,100510|100511|100512|100513|100514,album_dance1,album_dance1_subtitle,,,,0,#FFFFFF,#713cdd,#395D73,#96B3C5,世界舞曲专辑1,
100022,100488|100489|100371|100327|100318,album_girl,album_girl_subtitle1,,,,0,#FFFFFF,#713cdd,#395D73,#96B3C5,美丽姑娘专辑,
100023,100292|100358|100350|100228|100140,album_view,album_view_subtitle1,,,,0,#FFFFFF,#713cdd,#395D73,#96B3C5,自然风景专辑,
100017,100458|100459|100460|100461|100462,album_1diamond,album_1diamond_subtitle1,,,,0,#FFFFFF,#713cdd,#395D73,#96B3C5,1钻推荐,
100018,100059|100468|100469|100442|100329,album_moon,album_moon_subtitle1,,,,8,#FFFFFF,#309ada,#395D73,#96B3C5,月亮专辑,
100019,100463|100464|100465|100466|100467,album_world,album_world_subtitle1,,,,0,#FFFFFF,#713cdd,#395D73,#96B3C5,世界名曲 I,
100020,100398|100408|100275|100165|100086,album_animal,album_animal_subtitle1,,,,0,#FFFFFF,#713cdd,#395D73,#96B3C5,动物专辑,
100003,100437|100438|100439|100440|100441,album_anniversary3,album_anniversary1_subtitle1,,,,5,#FFFFFF,#25ac86,#395D73,#96B3C5,一周年特供专辑3（自然之声）,
100002,100432|100433|100434|100435|100436,album_anniversary2,album_anniversary2_subtitle1,album_anniversary2_subtitle2,,,4,#FFFFFF,#d298d2,#395D73,#96B3C5,一周年特辑2（原创精品）,
100001,100427|100428|100431|100430|100429,album_anniversary1,album_anniversary3_subtitle1,album_anniversary3_subtitle2,,,2,#FFFFFF,#3484b5,#395D73,#96B3C5,一周年特辑1（爱与情感）,
100004,100410|100209|100107|100124|100126,album_beethoven1,album_beethoven1_subtitle1,album_beethoven1_subtitle2,,,0,#FFFFFF,#713cdd,#395D73,#96B3C5,贝多芬1（古典音乐教父）,
100058,100713|100714|100715|100716|100717,album_Newedition,album_Newedition_subtitle,,,,7,#FFFFFF,#45cce3,#395D71,#96B3C3,爆裂块专辑,
100006,100235|100055|100338|100314|100238,album_mozart1,album_mozart1_subtitle1,album_mozart1_subtitle2,,,0,#FFFFFF,#713cdd,#395D73,#96B3C5,莫扎特1（音乐神童）,
100007,100356|100357|100282|100176|100177,album_soothing,album_soothing_subtitle1,album_soothing_subtitle2,,,1,#FFFFFF,#713cdd,#395D73,#96B3C5,治愈系旋律合辑,
100008,100363|100368|100339|100341|100332,album_child,album_child_subtitle1,,,,3,#FFFFFF,#713cdd,#395D73,#96B3C5,世界童谣合辑,
100009,100273|100175|100160|100097|100139,album_memory,album_memory_subtitle1,album_memory_subtitle2,,,3,#FFFFFF,#713cdd,#395D73,#96B3C5,记忆中的音乐合辑,
100010,100007|100426|100267,album_wei,album_wei_subtitle1,album_wei_subtitle2,,,6,#FFFFFF,#95e1ea,#395D73,#96B3C5,琮霏专辑（WEI）,
100011,100391|100393|100372|100364|100354|100355,album_vip1,album_vip_subtitle1,,2|3,,7,#FFFFFF,#449af0,#395D73,#96B3C5,VIP合辑1（钢琴块2独家音乐）,
100012,100365|100366|100337|100340|100348|100349,album_vip2,album_vip_subtitle1,,2|3,,7,#FFFFFF,#449af1,#395D73,#96B3C5,VIP合辑2（钢琴块2独家音乐）,
100013,100328|100331|100319|100322|100309|100310,album_vip3,album_vip_subtitle1,,2|3,,7,#FFFFFF,#449af2,#395D73,#96B3C5,VIP合辑3（钢琴块2独家音乐）,
100014,100391|100393|100372|100364|100354|100355,album_vip1_cn,album_vip_subtitle_cn,,1|3,,0,#FFFFFF,#713cdd,#395D73,#96B3C5,VIP合辑1（国内版处理）,
100015,100365|100366|100337|100340|100348|100349,album_vip2_cn,album_vip_subtitle_cn,,1|3,,0,#FFFFFF,#713cdd,#395D73,#96B3C5,VIP合辑2（国内版处理）,
100016,100328|100331|100319|100322|100309|100310,album_vip3_cn,album_vip_subtitle_cn,,1|3,,0,#FFFFFF,#713cdd,#395D73,#96B3C5,VIP合辑3（国内版处理）,